, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
count,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0,17550.0
mean,0.20285299145299146,0.08874017094017093,0.08286609686609687,0.05693561253561254,1.3426877492877491,1.7600330484330486,0.06298518518518519,1.0176421652421654,1.2834336182336181,1.3084216524216523,0.18757037037037036,0.4262792022792023,0.10967635327635329,0.12881994301994304,0.7232660968660969,0.3656427350427351,0.19098518518518517
std,0.3254202060197718,0.1922138516053391,0.13922488293492272,0.13521519840568447,0.4771833206707463,0.40881137603087236,0.11976630856641124,0.5431355430990905,0.6567971267271009,0.6764163664419105,0.2803641917904755,0.39638270027839884,0.18867191542006975,0.25983511924180624,0.6775958894312956,0.435938751451092,0.33116263594169465
min,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,1.0,1.52,0.0,0.63,0.73,0.86,0.0,0.06,0.0,0.0,0.0,0.0,0.0
50%,0.02,0.0,0.0,0.0,1.27,1.78,0.0,0.96,1.17,1.26,0.03,0.33,0.0,0.0,0.67,0.2,0.0
75%,0.31,0.07,0.12,0.04,1.64,2.03,0.07,1.34,1.74,1.73,0.31,0.71,0.15,0.15,1.31,0.6,0.25
max,2.63,1.53,0.92,1.67,3.21,3.25,0.82,3.28,3.7,3.39,2.9,1.95,1.29,5.0,2.58,2.57,2.44
