file,start,end,pcm_RMSenergy,pcm_LOGenergy
/Volumes/mac-ssd/movie/converted_data/g3_20220330_screen_off/h-20220330_screen_off.wav,0 days 00:00:00,0 days 00:00:00.003000,5.3949614e-05,-19.65492
/Volumes/mac-ssd/movie/converted_data/g3_20220330_screen_off/h-20220330_screen_off.wav,0 days 00:00:00.003000,0 days 00:00:00.006000,4.640921e-05,-19.956026
/Volumes/mac-ssd/movie/converted_data/g3_20220330_screen_off/h-20220330_screen_off.wav,0 days 00:00:00.006000,0 days 00:00:00.009000,4.8853453e-05,-19.85337
/Volumes/mac-ssd/movie/converted_data/g3_20220330_screen_off/h-20220330_screen_off.wav,0 days 00:00:00.009000,0 days 00:00:00.012000,5.2798394e-05,-19.69806
/Volumes/mac-ssd/movie/converted_data/g3_20220330_screen_off/h-20220330_screen_off.wav,0 days 00:00:00.012000,0 days 00:00:00.015000,3.8148137e-05,-20.348066
/Volumes/mac-ssd/movie/converted_data/g3_20220330_screen_off/h-20220330_screen_off.wav,0 days 00:00:00.015000,0 days 00:08:15.040000,5.328615e-05,-19.679668
