, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz,mouth,y,y_pre_label
2517,0.02,0.18,-23.1,4.1,314.6,-0.09,-0.043,-0.047,33.2,1,1
2518,0.017,0.175,-23.2,4.0,312.5,-0.089,-0.042,-0.047,33.2,1,1
2519,0.004,0.194,-23.5,4.1,313.9,-0.089,-0.039,-0.045,31.5,1,1
2520,0.033,0.181,-23.9,4.1,314.4,-0.092,-0.039,-0.051,30.2,1,1
2521,0.043,0.17,-24.2,4.4,314.8,-0.093,-0.04,-0.055,29.7,1,1
2522,0.024,0.202,-24.2,4.6,312.2,-0.079,-0.041,-0.059,29.4,1,1
2523,0.026,0.191,-24.5,4.8,313.6,-0.087,-0.04,-0.064,28.1,1,1
2524,0.028,0.182,-24.9,4.9,314.4,-0.091,-0.041,-0.068,28.1,1,1
2525,0.026,0.185,-25.3,5.0,315.6,-0.091,-0.039,-0.069,28.9,1,1
2526,0.067,0.159,-25.5,5.0,313.8,-0.104,-0.046,-0.071,28.1,1,1
2527,0.058,0.166,-25.7,5.0,313.1,-0.104,-0.049,-0.071,26.7,1,1
2528,0.058,0.193,-26.0,4.9,313.1,-0.099,-0.047,-0.071,26.3,1,1
2529,0.055,0.191,-26.1,4.9,313.6,-0.102,-0.049,-0.072,26.4,1,1
2530,0.072,0.15,-26.4,4.8,314.3,-0.115,-0.053,-0.077,26.8,1,1
2531,0.059,0.172,-26.5,4.6,314.7,-0.112,-0.055,-0.074,26.2,1,1
2532,0.055,0.179,-26.7,4.6,315.4,-0.11,-0.057,-0.074,26.8,1,1
2533,0.072,0.136,-26.6,4.4,315.1,-0.127,-0.061,-0.079,26.4,1,1
2534,0.081,0.141,-26.6,4.5,315.1,-0.123,-0.063,-0.077,25.0,1,1
2535,0.09,0.144,-26.4,4.7,313.7,-0.127,-0.06,-0.077,23.4,1,1
2536,0.103,0.174,-26.5,4.8,314.1,-0.12,-0.057,-0.077,23.0,1,1
2537,0.092,0.172,-26.7,4.9,314.4,-0.118,-0.053,-0.076,23.3,1,1
2538,0.102,0.172,-26.8,4.9,315.1,-0.122,-0.05,-0.075,23.6,1,1
2539,0.097,0.16,-26.9,5.0,314.8,-0.128,-0.048,-0.073,23.6,1,1
2540,0.096,0.167,-27.0,5.1,315.6,-0.124,-0.049,-0.073,24.0,1,1
2541,0.069,0.189,-26.9,5.3,315.7,-0.118,-0.046,-0.068,24.4,1,1
2542,0.074,0.179,-26.7,5.4,314.6,-0.12,-0.052,-0.07,24.1,1,1
2543,0.071,0.194,-26.5,5.5,314.2,-0.112,-0.053,-0.066,23.3,1,1
2544,0.073,0.197,-26.5,5.5,314.3,-0.117,-0.053,-0.067,23.7,1,1
2545,0.086,0.165,-26.2,5.4,313.8,-0.122,-0.059,-0.069,22.4,1,1
2546,0.078,0.171,-26.3,5.3,315.0,-0.119,-0.055,-0.068,22.1,1,1
2547,0.06,0.189,-26.2,5.4,314.8,-0.116,-0.052,-0.067,22.8,1,1
2548,0.083,0.16,-25.9,5.3,313.5,-0.126,-0.058,-0.068,21.2,1,1
2549,0.075,0.179,-25.7,5.3,312.7,-0.118,-0.05,-0.07,19.7,1,1
2550,0.056,0.203,-25.5,5.6,312.5,-0.116,-0.041,-0.07,18.6,1,1
2551,0.072,0.186,-25.4,5.6,312.5,-0.121,-0.043,-0.071,18.6,1,1
2552,0.057,0.205,-25.3,5.6,313.5,-0.116,-0.039,-0.069,18.2,1,1
2553,0.056,0.201,-25.1,5.7,312.9,-0.117,-0.041,-0.069,18.4,1,1
2554,0.044,0.22,-25.2,5.7,314.4,-0.118,-0.038,-0.069,18.3,1,1
2555,0.061,0.191,-24.9,5.7,312.5,-0.121,-0.045,-0.07,17.7,1,1
2556,0.069,0.192,-25.1,5.6,313.7,-0.121,-0.051,-0.069,18.1,1,1
2557,0.084,0.171,-25.3,5.7,314.3,-0.125,-0.056,-0.07,18.1,1,1
2558,0.085,0.173,-25.2,5.6,314.0,-0.124,-0.054,-0.073,19.0,1,1
2559,0.082,0.171,-25.2,5.7,314.0,-0.126,-0.05,-0.073,19.7,1,1
2560,0.093,0.167,-25.2,5.8,313.7,-0.127,-0.052,-0.071,19.5,1,1
2561,0.069,0.18,-25.3,5.8,314.6,-0.124,-0.049,-0.07,18.9,1,1
2562,0.06,0.196,-25.1,5.8,313.1,-0.121,-0.045,-0.07,19.2,1,1
2563,0.077,0.171,-25.2,5.9,313.7,-0.127,-0.049,-0.072,18.6,1,1
2564,0.063,0.196,-25.1,6.0,314.5,-0.121,-0.046,-0.072,19.3,1,1
2565,0.07,0.17,-25.1,6.1,313.8,-0.126,-0.048,-0.074,19.4,1,1
2566,0.07,0.174,-25.1,6.0,313.3,-0.122,-0.046,-0.075,19.2,1,1
2567,0.054,0.199,-25.0,6.0,312.4,-0.11,-0.044,-0.072,18.1,1,1
2568,0.043,0.226,-25.2,6.0,314.0,-0.108,-0.039,-0.07,18.2,1,1
2569,0.038,0.228,-25.1,6.0,313.3,-0.112,-0.038,-0.07,17.6,1,1
2570,0.047,0.2,-25.0,6.1,312.8,-0.114,-0.044,-0.072,16.6,1,1
2571,0.068,0.17,-24.9,6.0,310.9,-0.123,-0.048,-0.076,15.4,1,1
2572,0.064,0.173,-25.3,6.0,313.0,-0.119,-0.042,-0.075,15.3,1,1
2573,0.046,0.22,-25.2,6.1,311.6,-0.112,-0.035,-0.072,15.4,1,1
2574,0.041,0.217,-25.6,6.2,314.3,-0.114,-0.03,-0.071,15.6,1,1
2575,0.043,0.206,-25.5,6.3,312.4,-0.119,-0.03,-0.069,16.3,1,1
2576,0.037,0.221,-25.8,6.3,312.7,-0.111,-0.028,-0.067,17.7,1,1
2577,0.038,0.216,-26.1,6.4,314.2,-0.111,-0.024,-0.065,18.3,1,1
2578,0.039,0.222,-26.3,6.4,314.4,-0.106,-0.023,-0.06,19.5,1,1
2579,0.036,0.216,-26.9,6.6,317.6,-0.1,-0.017,-0.059,22.6,1,1
2580,0.035,0.235,-27.3,6.9,319.6,-0.09,-0.015,-0.052,24.5,1,1
2581,0.042,0.24,-27.6,7.2,320.5,-0.078,-0.018,-0.048,26.7,1,1
2582,0.03,0.267,-27.9,7.4,323.4,-0.07,-0.006,-0.047,28.8,1,1
2583,0.024,0.27,-28.1,7.6,324.4,-0.066,0.003,-0.045,30.0,1,1
2584,0.008,0.269,-28.6,7.8,326.3,-0.056,0.021,-0.045,31.8,1,1
2585,0.004,0.275,-29.0,8.0,326.5,-0.056,0.034,-0.042,34.4,1,1
2586,-0.004,0.288,-29.5,8.2,327.0,-0.052,0.052,-0.038,36.2,1,1
2587,-0.022,0.285,-29.9,8.3,327.3,-0.035,0.078,-0.031,35.1,1,1
2588,0.015,0.309,-30.0,8.1,327.5,-0.023,0.056,-0.017,36.4,1,1
2589,-0.003,0.295,-30.2,7.9,327.4,-0.034,0.068,-0.016,36.1,1,1
2590,-0.026,0.293,-30.5,7.9,326.0,-0.031,0.085,-0.012,35.8,1,1
2591,0.0,0.299,-30.5,8.0,326.3,-0.03,0.068,-0.004,38.4,1,1
2592,-0.008,0.277,-30.4,8.2,323.0,-0.031,0.073,-0.003,40.6,1,1
2593,0.005,0.288,-30.6,8.4,325.1,-0.027,0.066,0.004,41.6,1,1
2594,-0.011,0.3,-30.8,8.3,325.5,-0.036,0.082,-0.002,42.8,1,1
2595,-0.012,0.293,-31.2,8.3,324.4,-0.016,0.106,0.003,40.2,1,1
2596,-0.03,0.271,-31.0,8.4,323.1,-0.031,0.105,0.009,37.8,1,1
2597,-0.032,0.259,-31.0,8.5,322.0,-0.044,0.097,0.011,36.9,1,1
2598,-0.038,0.279,-31.3,8.5,322.8,-0.041,0.099,0.013,35.6,1,1
2599,-0.024,0.269,-31.6,8.3,323.8,-0.052,0.087,0.015,35.4,1,1
2600,-0.03,0.268,-31.9,8.3,324.0,-0.056,0.071,0.018,38.0,1,1
2601,-0.005,0.258,-31.8,8.2,325.4,-0.057,0.059,0.021,39.3,1,1
2602,-0.0,0.252,-31.8,8.2,325.8,-0.056,0.068,0.012,40.6,1,1
2603,-0.019,0.279,-32.4,8.2,325.9,-0.035,0.1,0.006,37.4,1,1
2604,-0.015,0.277,-32.7,8.4,326.2,-0.031,0.095,0.014,38.0,1,1
2605,-0.013,0.27,-32.8,8.6,325.4,-0.038,0.085,0.016,40.0,1,1
2606,-0.01,0.271,-33.0,8.7,325.4,-0.038,0.08,0.016,41.5,1,1
2607,0.023,0.256,-32.7,8.5,325.1,-0.048,0.054,0.015,45.3,1,1
2608,0.004,0.265,-32.9,8.4,326.6,-0.048,0.079,0.005,45.4,1,1
2609,0.002,0.272,-33.2,8.5,324.6,-0.03,0.081,0.013,47.1,1,1
2610,0.014,0.254,-33.0,8.5,325.2,-0.039,0.069,0.013,48.3,1,1
2611,0.005,0.255,-33.3,8.7,324.6,-0.033,0.078,0.016,48.1,1,1
2612,0.009,0.262,-33.5,9.0,325.1,-0.029,0.082,0.014,47.1,1,1
2613,-0.005,0.262,-33.6,9.0,325.7,-0.029,0.093,0.015,45.5,1,1
2614,-0.009,0.259,-33.6,9.1,325.0,-0.036,0.088,0.015,45.7,1,1
2615,-0.019,0.265,-33.8,9.1,326.1,-0.027,0.104,0.014,43.8,1,1
2616,-0.029,0.263,-33.8,9.1,325.5,-0.036,0.106,0.015,42.8,1,1
2617,-0.024,0.254,-33.8,9.0,325.4,-0.04,0.107,0.016,43.6,1,1
2618,-0.041,0.254,-33.9,8.9,326.7,-0.034,0.122,0.017,42.9,1,1
2619,-0.043,0.25,-33.9,8.8,326.1,-0.047,0.122,0.019,42.0,1,1
2620,-0.054,0.257,-34.0,8.7,326.7,-0.045,0.132,0.018,40.6,1,1
2621,-0.06,0.253,-34.1,8.6,326.4,-0.049,0.138,0.02,39.3,1,1
2622,-0.063,0.256,-34.1,8.6,326.1,-0.051,0.137,0.019,39.8,1,1
2623,-0.062,0.255,-34.1,8.6,326.3,-0.053,0.139,0.019,38.9,1,1
2624,-0.047,0.247,-34.1,8.5,326.0,-0.055,0.132,0.019,38.6,1,1
2625,-0.051,0.255,-34.1,8.5,325.9,-0.055,0.133,0.02,37.7,1,1
2626,-0.065,0.257,-34.2,8.5,326.4,-0.054,0.139,0.02,37.3,1,1
2627,-0.071,0.251,-34.2,8.4,326.4,-0.058,0.142,0.02,36.7,1,1
2628,-0.064,0.245,-34.2,8.3,326.3,-0.066,0.141,0.021,36.1,1,1
2629,-0.069,0.247,-34.4,8.3,326.6,-0.063,0.15,0.02,36.0,1,1
2630,-0.072,0.248,-34.4,8.2,326.4,-0.063,0.154,0.019,36.1,1,1
2631,-0.069,0.248,-34.5,8.2,326.5,-0.063,0.154,0.019,36.6,1,1
2632,-0.074,0.245,-34.5,8.1,326.6,-0.063,0.16,0.02,36.0,1,1
2633,-0.07,0.244,-34.5,8.2,326.4,-0.065,0.156,0.02,36.7,1,1
2634,-0.064,0.24,-34.5,8.1,326.2,-0.065,0.155,0.021,37.4,1,1
2635,-0.059,0.237,-34.5,8.0,326.2,-0.064,0.16,0.023,36.5,1,1
2636,-0.066,0.244,-34.6,8.0,326.4,-0.067,0.173,0.022,35.2,1,1
2637,-0.078,0.248,-34.7,7.8,326.5,-0.063,0.184,0.024,34.1,1,1
2638,-0.074,0.239,-34.7,7.8,326.1,-0.074,0.181,0.024,34.0,1,1
2639,-0.075,0.221,-35.1,8.0,328.1,-0.078,0.188,0.024,33.4,1,1
2640,-0.059,0.277,-35.1,7.8,327.4,-0.078,0.206,0.025,31.1,1,1
2641,-0.072,0.263,-35.2,7.8,326.8,-0.078,0.208,0.027,31.8,1,1
2642,-0.076,0.23,-35.2,7.8,326.2,-0.086,0.198,0.026,33.9,1,1
2643,-0.079,0.22,-35.0,7.7,325.4,-0.088,0.2,0.027,33.6,1,1
2644,-0.096,0.22,-34.8,7.7,324.8,-0.094,0.203,0.028,34.4,1,1
2645,-0.076,0.208,-34.8,7.6,324.0,-0.101,0.203,0.027,34.7,1,1
2646,-0.103,0.211,-34.8,7.5,324.1,-0.097,0.208,0.028,34.8,1,1
2647,-0.09,0.198,-34.8,7.5,323.6,-0.1,0.194,0.027,37.7,1,1
2648,-0.08,0.195,-34.9,7.4,323.4,-0.1,0.193,0.028,39.6,1,1
2649,-0.077,0.2,-35.0,7.4,323.6,-0.097,0.19,0.028,41.3,1,1
2650,-0.071,0.203,-35.2,7.5,324.1,-0.096,0.193,0.029,42.0,1,1
2651,-0.069,0.199,-35.2,7.5,324.0,-0.102,0.184,0.03,42.6,1,1
2652,-0.076,0.204,-35.3,7.4,323.9,-0.102,0.199,0.032,41.2,1,1
2653,-0.082,0.21,-35.4,7.4,323.8,-0.101,0.203,0.032,40.5,1,1
2654,-0.074,0.196,-35.5,7.1,323.2,-0.111,0.206,0.032,38.9,1,1
2655,-0.086,0.205,-35.5,7.2,323.2,-0.113,0.209,0.034,39.6,1,1
2656,-0.091,0.206,-35.6,7.0,323.1,-0.119,0.207,0.037,39.2,1,1
2657,-0.091,0.203,-35.7,7.0,323.0,-0.122,0.214,0.037,38.4,1,1
2658,-0.092,0.2,-35.8,7.0,323.0,-0.123,0.219,0.038,38.5,1,1
2659,-0.097,0.196,-35.8,7.0,323.0,-0.124,0.221,0.039,38.3,1,1
2660,-0.094,0.199,-35.7,7.0,323.0,-0.129,0.219,0.039,38.6,1,1
2661,-0.092,0.198,-35.7,7.0,322.7,-0.128,0.222,0.039,38.8,1,1
2662,-0.091,0.197,-35.9,7.1,323.0,-0.128,0.217,0.038,39.6,1,1
2663,-0.096,0.199,-35.8,7.0,322.9,-0.132,0.22,0.038,38.7,1,1
2664,-0.103,0.191,-36.0,7.1,323.3,-0.133,0.223,0.037,38.9,1,1
2665,-0.11,0.189,-35.9,7.0,323.2,-0.136,0.233,0.039,38.6,1,1
2666,-0.108,0.192,-35.9,7.0,323.1,-0.136,0.234,0.04,38.7,1,1
2667,-0.105,0.173,-35.8,6.9,322.7,-0.146,0.225,0.039,38.6,1,1
2668,-0.126,0.195,-35.9,6.9,323.0,-0.139,0.245,0.041,36.9,1,1
2669,-0.142,0.193,-36.0,7.1,323.3,-0.14,0.26,0.041,35.7,1,1
2670,-0.165,0.238,-36.2,6.8,323.1,-0.135,0.286,0.038,33.1,1,1
2671,-0.145,0.231,-36.3,6.8,322.5,-0.135,0.294,0.037,32.9,1,1
2672,-0.158,0.225,-36.2,6.7,321.6,-0.141,0.306,0.034,31.4,1,1
2673,-0.166,0.192,-36.2,6.4,320.7,-0.147,0.313,0.028,28.3,1,1
2674,-0.156,0.195,-35.8,6.4,320.0,-0.139,0.291,0.023,28.0,1,1
2675,-0.09,0.168,-35.1,6.4,318.9,-0.133,0.249,0.018,28.9,1,1
2676,-0.09,0.151,-34.7,6.4,317.3,-0.134,0.243,0.016,28.7,1,1
2677,-0.068,0.188,-34.1,6.7,315.9,-0.132,0.202,0.01,33.5,1,1
2678,-0.085,0.2,-33.7,7.1,316.5,-0.12,0.185,0.006,34.8,1,1
2679,-0.01,0.198,-33.6,7.6,317.7,-0.115,0.188,0.006,36.6,1,1
2680,-0.02,0.185,-33.7,7.8,319.3,-0.103,0.202,0.005,34.7,1,1
2681,0.005,0.189,-33.3,8.0,319.0,-0.101,0.179,0.005,35.1,1,1
2682,-0.021,0.154,-33.4,8.0,320.5,-0.109,0.2,0.005,32.5,1,1
2683,-0.004,0.178,-33.3,8.1,320.5,-0.11,0.182,0.006,31.7,1,1
2684,-0.01,0.172,-33.6,8.0,321.8,-0.111,0.194,0.007,29.2,1,1
2685,-0.032,0.164,-33.7,7.8,322.1,-0.122,0.184,0.009,28.0,1,1
2686,-0.048,0.193,-33.7,7.9,321.5,-0.125,0.163,0.011,31.0,1,1
2687,-0.04,0.191,-33.9,7.7,322.1,-0.124,0.17,0.011,29.6,1,1
2688,-0.052,0.213,-33.9,7.5,322.3,-0.12,0.172,0.013,29.0,1,1
2689,-0.035,0.184,-33.9,7.4,321.4,-0.13,0.159,0.012,28.6,1,1
2690,-0.033,0.183,-34.0,7.5,322.0,-0.129,0.157,0.011,29.4,1,1
2691,-0.04,0.198,-34.1,7.5,322.0,-0.13,0.155,0.009,28.8,1,1
2692,-0.043,0.192,-34.2,7.6,322.4,-0.128,0.16,0.007,29.0,1,1
2693,-0.062,0.204,-34.2,7.7,322.5,-0.123,0.157,0.007,30.5,1,1
2694,-0.058,0.191,-34.3,7.6,323.3,-0.122,0.168,0.006,29.6,1,1
2695,-0.035,0.172,-34.2,7.6,322.9,-0.122,0.166,0.006,30.2,1,1
2696,-0.046,0.183,-34.2,7.7,322.9,-0.114,0.162,0.007,32.2,1,1
2697,-0.048,0.166,-34.3,7.7,323.2,-0.117,0.164,0.006,32.2,1,1
2698,-0.029,0.154,-34.2,7.8,323.1,-0.117,0.162,0.006,32.8,1,1
2699,-0.04,0.153,-34.2,7.9,322.5,-0.118,0.154,0.003,32.4,1,1
2700,-0.036,0.156,-34.1,8.0,322.2,-0.116,0.154,0.002,32.0,1,1
2701,-0.018,0.181,-34.0,8.2,321.7,-0.11,0.147,-0.0,32.2,1,1
2702,-0.029,0.18,-34.1,8.5,323.0,-0.1,0.157,-0.001,31.5,1,1
2703,-0.03,0.196,-34.0,8.7,321.8,-0.098,0.138,-0.005,33.6,1,1
2704,-0.038,0.204,-34.3,8.7,323.4,-0.091,0.156,-0.005,30.9,1,1
2705,-0.02,0.207,-34.4,8.8,322.9,-0.089,0.155,-0.003,32.2,1,1
2706,-0.039,0.206,-34.5,9.1,323.2,-0.08,0.148,-0.0,35.5,1,1
2707,-0.049,0.206,-34.9,9.0,325.0,-0.079,0.166,-0.002,34.6,1,1
2708,-0.071,0.215,-35.2,8.9,326.3,-0.08,0.192,-0.001,31.8,1,1
2709,-0.049,0.186,-35.1,8.8,324.6,-0.1,0.171,-0.002,32.5,1,1
2710,-0.084,0.233,-35.2,8.8,324.8,-0.088,0.192,0.002,31.2,1,1
2711,-0.058,0.205,-35.3,8.9,324.3,-0.098,0.178,0.0,32.7,1,1
2712,-0.063,0.191,-35.4,8.8,324.1,-0.099,0.181,0.001,33.1,1,1
2713,-0.059,0.201,-35.1,8.8,323.0,-0.084,0.189,0.003,34.0,1,1
2714,-0.043,0.116,-34.3,8.6,320.0,-0.082,0.163,0.004,36.5,1,1
2715,-0.078,-0.031,-33.7,8.2,317.3,-0.084,0.134,-0.0,40.2,1,1
2716,-0.109,-0.064,-33.7,8.3,318.2,-0.075,0.137,-0.002,43.5,1,1
2717,-0.064,-0.011,-33.5,8.5,318.1,-0.075,0.132,-0.002,45.0,1,1
2718,-0.013,0.141,-33.6,8.6,320.7,-0.074,0.151,-0.002,44.7,1,1
2719,-0.074,0.186,-33.9,8.6,323.7,-0.074,0.188,0.001,41.3,1,1
2720,-0.077,0.226,-34.2,8.3,324.2,-0.076,0.185,-0.001,41.1,1,1
2721,-0.089,0.215,-33.9,8.2,323.3,-0.083,0.176,0.002,42.9,1,1
2722,-0.042,0.154,-33.8,8.1,322.2,-0.076,0.173,0.003,46.7,1,1
2723,-0.034,0.09,-33.2,7.9,319.3,-0.078,0.149,0.006,50.4,1,1
2724,-0.072,0.002,-32.9,7.7,318.4,-0.081,0.133,0.003,53.6,1,1
2725,-0.083,-0.024,-32.9,7.8,319.0,-0.063,0.138,0.003,55.6,1,1
2726,-0.043,-0.025,-32.9,7.8,320.4,-0.054,0.139,0.003,55.3,1,1
2727,-0.073,0.034,-32.9,7.7,322.4,-0.043,0.154,0.002,52.4,1,1
2728,-0.015,0.085,-32.5,7.9,322.0,-0.043,0.14,-0.001,52.2,1,1
2729,-0.012,0.057,-32.4,7.9,322.8,-0.036,0.137,-0.002,52.5,1,1
2730,-0.015,0.094,-32.3,8.1,322.9,-0.022,0.138,-0.007,52.7,1,1
2731,-0.053,0.207,-32.7,8.7,326.1,-0.012,0.159,-0.012,52.1,1,1
2732,-0.014,0.193,-32.8,8.9,325.7,-0.014,0.146,-0.015,53.1,1,1
2733,0.01,0.209,-32.9,8.8,325.2,-0.011,0.141,-0.016,53.0,1,1
2734,0.037,0.197,-32.7,8.7,323.7,-0.004,0.134,-0.015,54.2,1,1
2735,-0.0,0.116,-32.5,8.4,321.1,-0.007,0.118,-0.015,55.8,1,1
2736,-0.006,0.1,-33.0,8.5,322.3,0.006,0.135,-0.019,56.3,1,1
2737,-0.011,0.105,-33.3,8.1,322.0,0.011,0.145,-0.02,54.6,1,1
2738,-0.017,0.09,-33.5,8.0,321.9,0.018,0.149,-0.019,53.5,1,1
2739,-0.029,0.078,-33.7,8.1,322.3,0.015,0.148,-0.02,53.9,1,1
2740,-0.024,0.079,-33.7,8.0,321.5,0.018,0.141,-0.018,55.2,1,1
2741,-0.013,0.095,-33.9,8.2,322.3,0.011,0.141,-0.02,55.9,1,1
2742,-0.004,0.099,-34.1,8.3,322.7,0.021,0.144,-0.02,55.4,1,1
2743,-0.036,0.172,-34.7,9.0,328.6,0.008,0.174,-0.019,50.9,1,1
2744,-0.043,0.231,-35.2,8.9,328.7,0.003,0.182,-0.019,50.1,1,1
2745,-0.052,0.224,-35.1,8.7,327.5,-0.0,0.18,-0.017,50.8,1,1
2746,-0.054,0.208,-35.1,8.5,326.3,0.011,0.195,-0.017,50.8,1,1
2747,-0.039,0.189,-34.8,8.3,324.6,0.002,0.177,-0.015,53.8,1,1
2748,-0.053,0.165,-34.7,8.3,324.7,-0.003,0.17,-0.016,55.1,1,1
2749,-0.067,0.149,-34.4,8.2,324.1,-0.004,0.165,-0.015,55.8,1,1
2750,-0.067,0.149,-34.1,8.2,323.9,-0.004,0.162,-0.014,56.3,1,1
2751,-0.06,0.148,-33.9,8.1,323.2,0.002,0.157,-0.015,56.1,1,1
2752,-0.055,0.15,-33.4,8.2,322.3,-0.003,0.152,-0.015,54.7,1,1
2753,-0.077,0.158,-33.0,8.1,321.8,-0.001,0.154,-0.013,53.8,1,1
2754,-0.076,0.176,-32.9,8.2,322.6,-0.001,0.163,-0.016,52.7,1,1
2755,-0.084,0.176,-32.7,8.0,322.7,0.002,0.173,-0.014,50.5,1,1
2756,-0.08,0.191,-32.7,7.8,322.6,0.005,0.171,-0.015,48.3,1,1
2757,-0.077,0.184,-32.6,7.7,323.0,0.002,0.169,-0.015,47.5,1,1
2758,-0.077,0.192,-32.5,7.6,323.2,-0.003,0.17,-0.014,46.2,1,1
2759,-0.066,0.182,-32.5,7.4,323.4,-0.011,0.17,-0.015,44.4,1,1
2760,-0.073,0.191,-32.1,7.2,322.4,-0.016,0.162,-0.013,43.8,1,1
2761,-0.066,0.194,-32.0,7.2,322.4,-0.02,0.159,-0.015,43.8,1,1
2762,-0.07,0.216,-31.8,7.0,321.7,-0.023,0.15,-0.017,44.2,1,1
2763,-0.059,0.213,-31.7,7.1,321.4,-0.028,0.14,-0.016,45.3,1,1
2764,-0.051,0.227,-31.7,7.3,322.0,-0.026,0.134,-0.017,45.1,1,1
2765,-0.051,0.241,-31.8,7.7,323.3,-0.015,0.131,-0.015,46.0,1,1
2766,-0.039,0.261,-32.0,8.0,325.2,-0.014,0.134,-0.015,45.3,1,1
2767,0.009,0.255,-32.4,8.3,327.9,-0.008,0.14,-0.013,44.2,1,1
2768,0.016,0.286,-32.9,8.5,329.9,-0.014,0.156,-0.012,42.6,1,1
2769,-0.012,0.298,-32.9,8.3,329.6,-0.016,0.159,-0.011,42.1,1,1
2770,-0.042,0.284,-33.0,8.3,329.7,-0.017,0.169,-0.013,41.4,1,1
2771,-0.06,0.278,-32.7,8.2,328.3,-0.011,0.173,-0.01,41.1,1,1
2772,-0.049,0.27,-32.5,8.3,327.5,-0.009,0.159,-0.01,42.8,1,1
2773,-0.059,0.264,-32.4,8.6,327.7,-0.005,0.154,-0.009,44.8,1,1
2774,-0.051,0.255,-32.4,8.8,328.0,-0.004,0.149,-0.009,46.6,1,1
2775,-0.052,0.25,-32.4,9.1,328.6,-0.001,0.144,-0.01,47.9,1,1
2776,-0.064,0.244,-32.4,9.4,329.0,-0.002,0.134,-0.009,48.8,1,1
2777,-0.067,0.245,-32.8,9.8,330.9,0.0,0.138,-0.009,49.1,1,1
2778,-0.059,0.232,-33.2,10.2,333.0,-0.002,0.136,-0.008,49.6,1,1
2779,-0.062,0.236,-33.3,10.6,334.5,-0.004,0.136,-0.008,49.0,1,1
2780,-0.054,0.225,-33.5,11.2,335.4,-0.008,0.135,-0.006,48.7,1,1
2781,-0.049,0.235,-33.0,11.5,333.9,-0.011,0.126,-0.008,49.1,1,1
2782,0.01,0.242,-32.1,11.5,334.7,-0.027,0.098,-0.012,53.5,1,1
2783,0.018,0.234,-31.9,11.0,342.6,-0.023,0.087,-0.016,54.3,1,1
2784,0.064,0.188,-32.0,10.4,354.3,-0.046,0.012,-0.012,56.6,1,1
2785,0.058,0.152,-31.0,8.4,355.2,-0.125,-0.015,-0.02,34.0,1,1
2786,0.091,0.102,-29.3,6.8,354.7,-0.183,-0.001,-0.036,20.0,1,1
2787,0.081,0.104,-28.0,6.0,356.8,-0.192,-0.009,-0.045,18.0,1,1
2788,0.103,0.109,-28.1,4.8,371.0,-0.176,-0.017,-0.051,16.4,1,1
2789,0.104,0.099,-27.8,3.1,384.8,-0.176,-0.016,-0.058,15.5,1,1
2790,0.067,0.096,-26.5,1.3,390.9,-0.192,-0.012,-0.063,15.6,1,1
2791,0.087,0.082,-24.5,0.6,392.5,-0.197,-0.007,-0.062,13.7,1,1
2792,0.102,0.074,-22.4,0.5,394.6,-0.197,-0.005,-0.057,12.3,1,1
2793,0.085,0.09,-20.4,0.7,398.6,-0.197,0.004,-0.051,13.9,1,1
2794,0.062,0.098,-18.0,1.1,400.2,-0.205,0.009,-0.046,13.4,1,1
2795,0.067,0.079,-15.3,1.8,403.0,-0.205,0.012,-0.04,15.2,1,1
2796,0.05,0.085,-12.2,2.2,405.6,-0.21,0.008,-0.033,14.3,1,1
2797,0.044,0.069,-8.9,2.6,408.7,-0.223,0.006,-0.027,15.3,1,1
2798,0.048,0.048,-5.4,3.2,411.8,-0.243,0.002,-0.017,14.6,1,1
2799,0.028,0.052,-1.9,3.8,413.0,-0.256,-0.007,-0.004,10.9,1,1
2800,0.009,0.05,1.7,4.5,414.9,-0.267,-0.014,0.005,12.1,1,1
2801,0.038,0.05,4.8,5.5,417.0,-0.271,-0.019,0.014,12.4,1,1
2802,0.044,0.036,7.4,6.8,419.6,-0.273,-0.025,0.021,12.3,1,1
2803,0.056,0.023,9.4,8.2,422.6,-0.273,-0.032,0.025,13.1,1,1
2804,0.045,0.023,10.9,9.6,426.8,-0.275,-0.049,0.027,16.8,1,1
2805,0.051,-0.002,11.6,10.6,431.2,-0.291,-0.051,0.025,14.7,1,1
2806,0.056,0.005,12.0,11.7,434.8,-0.295,-0.052,0.02,16.0,1,1
2807,0.061,-0.01,12.1,12.5,438.6,-0.299,-0.049,0.016,16.6,1,1
2808,0.05,-0.001,12.1,13.4,442.3,-0.299,-0.042,0.01,16.3,1,1
2809,0.052,-0.01,12.3,14.9,448.2,-0.297,-0.036,0.007,16.6,1,1
2810,0.04,-0.01,12.5,16.4,453.7,-0.302,-0.032,0.004,16.1,1,1
2811,0.048,-0.013,12.8,17.8,457.8,-0.299,-0.031,-0.0,15.5,1,1
2812,0.067,-0.023,12.6,19.2,461.6,-0.294,-0.029,-0.005,15.8,1,1
2813,0.049,-0.013,12.3,20.6,467.0,-0.306,-0.02,-0.006,15.1,1,1
2814,0.046,-0.01,12.0,21.5,470.6,-0.303,-0.022,-0.007,15.7,1,1
2815,0.106,-0.03,11.8,22.2,474.8,-0.308,-0.022,-0.001,15.1,1,1
2816,0.168,-0.064,11.9,23.0,477.2,-0.323,-0.031,0.01,14.5,1,1
